# Birdle candidate master list — popular & recognizable birds worldwide.
# Format: Common Name [| region].  '#' starts a comment.  Blank lines ignored.
# ingest_birds.py resolves scientific name + image + family from Wikipedia/iNat,
# audio-gates (drops birds with no open recording), and skips any already in the pool.
# Over-provisioned (~400) so attrition still lands us at >=365 total.

# ── NORTH AMERICA ────────────────────────────────────────────────────────────
Mute Swan | north-america
Short-eared Owl | europe
Long-eared Owl | europe
Atlantic Puffin | europe
Razorbill | europe
Common Guillemot | europe
Black-legged Kittiwake | europe
European Herring Gull | europe
Great Cormorant | europe
Northern Gannet | europe

# ── AFRICA ───────────────────────────────────────────────────────────────────
Common Ostrich | africa
Secretarybird | africa
Greater Flamingo | africa
Lesser Flamingo | africa
Hamerkop | africa
Sacred Ibis | africa
Marabou Stork | africa
Saddle-billed Stork | africa
Yellow-billed Stork | africa
Grey Crowned Crane | africa
African Fish Eagle | africa
Martial Eagle | africa
Bateleur | africa
African Crowned Eagle | africa
Lappet-faced Vulture | africa
White-backed Vulture | africa
Pied Crow | africa
Superb Starling | africa
Greater Blue-eared Starling | africa
Red-billed Oxpecker | africa
Lilac-breasted Roller | africa
Southern Carmine Bee-eater | africa
White-fronted Bee-eater | africa
Malachite Kingfisher | africa
Grey Go-away-bird | africa
Hadada Ibis | africa
Egyptian Goose | africa
Spur-winged Goose | africa
African Jacana | africa
Red-billed Hornbill | africa
Southern Ground Hornbill | africa
Southern Yellow-billed Hornbill | africa
Helmeted Guineafowl | africa
Vulturine Guineafowl | africa
Ostrich | africa
Kori Bustard | africa
Cape Weaver | africa
Southern Masked Weaver | africa
Red-billed Quelea | africa
Village Weaver | africa
Long-tailed Widowbird | africa
Cape Sugarbird | africa
Speckled Mousebird | africa
African Grey Parrot | africa
Senegal Parrot | africa
Fischer's Lovebird | africa
Rosy-faced Lovebird | africa
Crowned Lapwing | africa
Blacksmith Lapwing | africa
African Penguin | africa
Cape Gannet | africa
Goliath Heron | africa
Verreaux's Eagle | africa
Pel's Fishing Owl | africa
Pin-tailed Whydah | africa

# ── ASIA ─────────────────────────────────────────────────────────────────────
Indian Peafowl | asia
Red Junglefowl | asia
Indian Pond Heron | asia
Painted Stork | asia
Black-necked Stork | asia
Sarus Crane | asia
Red-crowned Crane | asia
Demoiselle Crane | asia
Black-headed Ibis | asia
Asian Openbill | asia
Greater Adjutant | asia
Indian Roller | asia
White-throated Kingfisher | asia
Stork-billed Kingfisher | asia
Common Kingfisher | asia
Oriental Dollarbird | asia
Asian Green Bee-eater | asia
Great Hornbill | asia
Oriental Pied Hornbill | asia
Rhinoceros Hornbill | asia
Indian Grey Hornbill | asia
Coppersmith Barbet | asia
Rose-ringed Parakeet | asia
Alexandrine Parakeet | asia
Plum-headed Parakeet | asia
Red-whiskered Bulbul | asia
Red-vented Bulbul | asia
Oriental Magpie-Robin | asia
Common Myna | asia
Hill Myna | asia
Asian Koel | asia
Greater Coucal | asia
House Crow | asia
Large-billed Crow | asia
Rufous Treepie | asia
Black Drongo | asia
Greater Racket-tailed Drongo | asia
Indian Paradise Flycatcher | asia
Purple Sunbird | asia
Crimson Sunbird | asia
Baya Weaver | asia
Scaly-breasted Munia | asia
Red Avadavat | asia
Java Sparrow | asia
Mandarin Duck | asia
Spot-billed Duck | asia
Ruddy Shelduck | asia
Bar-headed Goose | asia
Mountain Hawk-Eagle | asia
Crested Serpent Eagle | asia
Brahminy Kite | asia
Black Kite | asia
Steppe Eagle | asia
Himalayan Monal | asia
Kalij Pheasant | asia
Golden Pheasant | asia
Lady Amherst's Pheasant | asia
Mikado Pheasant | asia
Satyr Tragopan | asia
Blood Pheasant | asia
Mandarin Duck | asia
Oriental White-eye | asia
Long-tailed Shrike | asia
White Wagtail | asia
Black-winged Stilt | asia
Pheasant-tailed Jacana | asia
Eurasian Hoopoe | asia
Spotted Owlet | asia
Brown Fish Owl | asia
Vernal Hanging Parrot | asia

# ── SOUTH & CENTRAL AMERICA ──────────────────────────────────────────────────
Andean Condor | south-america
Harpy Eagle | south-america
King Vulture | south-america
Greater Rhea | south-america
Southern Cassowary | australia
Hoatzin | south-america
Scarlet Macaw | south-america
Blue-and-yellow Macaw | south-america
Hyacinth Macaw | south-america
Military Macaw | south-america
Sun Conure | south-america
Scarlet Ibis | south-america
Roseate Spoonbill | south-america
Jabiru | south-america
Toco Toucan | south-america
Keel-billed Toucan | south-america
Channel-billed Toucan | south-america
Resplendent Quetzal | south-america
Andean Cock-of-the-rock | south-america
Guianan Cock-of-the-rock | south-america
Blue-crowned Motmot | south-america
Turquoise-browed Motmot | south-america
Sword-billed Hummingbird | south-america
Marvelous Spatuletail | south-america
Crimson Topaz | south-america
Greater Roadrunner | north-america
Southern Lapwing | south-america
Magellanic Penguin | south-america
Humboldt Penguin | south-america
Inca Tern | south-america
Andean Flamingo | south-america
Chilean Flamingo | south-america
American Flamingo | south-america
Rufous-bellied Thrush | south-america
Saffron Finch | south-america
Green-headed Tanager | south-america
Paradise Tanager | south-america
Seven-colored Tanager | south-america
Burrowing Parrot | south-america
Monk Parakeet | south-america
Great Kiskadee | south-america
Southern Caracara | south-america

# ── AUSTRALIA & OCEANIA ──────────────────────────────────────────────────────
Emu | australia
Southern Cassowary | australia
Laughing Kookaburra | australia
Blue-winged Kookaburra | australia
Rainbow Lorikeet | australia
Sulphur-crested Cockatoo | australia
Galah | australia
Major Mitchell's Cockatoo | australia
Gang-gang Cockatoo | australia
Cockatiel | australia
Budgerigar | australia
Australian King Parrot | australia
Crimson Rosella | australia
Eastern Rosella | australia
Superb Fairywren | australia
Splendid Fairywren | australia
Australian Magpie | australia
Pied Currawong | australia
Australian Raven | australia
Willie Wagtail | australia
Magpie-lark | australia
Noisy Miner | australia
Rainbow Bee-eater | australia
Tawny Frogmouth | australia
Powerful Owl | australia
Wedge-tailed Eagle | australia
White-bellied Sea Eagle | australia
Australian Pelican | australia
Black Swan | australia
Maned Duck | australia
Australian Wood Duck | australia
Pacific Black Duck | australia
Masked Lapwing | australia
Brolga | australia
Australasian Gannet | australia
Little Penguin | australia
Superb Lyrebird | australia
Satin Bowerbird | australia
Regent Bowerbird | australia
Australian King Parrot | australia
Crimson Chat | australia
New Holland Honeyeater | australia
Kea | australia
Kakapo | australia
Tui | australia
North Island Brown Kiwi | australia

# ── SEABIRDS & WORLDWIDE ─────────────────────────────────────────────────────
Wandering Albatross | worldwide
Black-browed Albatross | worldwide
Laysan Albatross | worldwide
Arctic Tern | worldwide
Common Tern | worldwide
Sooty Tern | worldwide
Great Frigatebird | worldwide
Magnificent Frigatebird | worldwide
Blue-footed Booby | worldwide
Red-footed Booby | worldwide
Brown Booby | worldwide
King Penguin | worldwide
Gentoo Penguin | worldwide
Chinstrap Penguin | worldwide
Adelie Penguin | worldwide
Rockhopper Penguin | worldwide
Osprey | worldwide
Peregrine Falcon | worldwide
Barn Owl | worldwide
Snowy Owl | worldwide
Great Grey Owl | worldwide
